process_date,Area,Cadena,despegar_hotel_id,eecc,Nombre_Hotel,hotel_country,PoS,check_in,check_out,los,adults,children,BML_buyers,currency,agency_name,VarBuyers,price_despegar (USD),buyers_best_price_competitor_total (USD),competitors_Min_Rate (USD),no_buyers_best_price_competitor_total (USD)
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,24/11/2026,28/11/2026,4,2,0,Lose,USD,VacationDeals,10.19%,1091.0,1202.0,1142.0,1383.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,25/10/2026,29/10/2026,4,4,1,Meet,USD,WanderlustCo,4.53%,1342.0,1403.0,1332.0,1613.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,17/10/2026,22/10/2026,5,2,0,Lose,USD,TripMaster,13.54%,1599.0,1816.0,1725.0,2088.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,16/10/2026,26/10/2026,10,2,0,Lose,USD,TripMaster,6.62%,2626.0,2800.0,2660.0,3220.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,06/06/2026,11/06/2026,5,2,2,Beat,USD,GlobalTravel,-2.86%,2600.0,2526.0,2399.0,2905.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,26/04/2026,29/04/2026,3,4,0,Lose,USD,TravelCorp,5.30%,951.0,1001.0,951.0,1152.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,07/03/2026,14/03/2026,7,2,0,Meet,USD,TripMaster,0.50%,1689.0,1698.0,1613.0,1952.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,12/08/2026,16/08/2026,4,2,0,Lose,USD,GlobalTravel,5.71%,1698.0,1795.0,1705.0,2064.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,16/10/2026,21/10/2026,5,2,0,Lose,USD,VacationDeals,6.94%,1097.0,1173.0,1115.0,1349.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,13/10/2026,17/10/2026,4,2,1,Meet,USD,TripMaster,0.48%,731.0,734.0,698.0,844.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,08/05/2026,10/05/2026,2,3,0,Lose,USD,VacationDeals,8.39%,470.0,509.0,484.0,586.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,19/06/2026,24/06/2026,5,2,0,Lose,USD,WanderlustCo,6.16%,2361.0,2506.0,2381.0,2882.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,05/06/2026,09/06/2026,4,2,0,Lose,USD,TripMaster,10.12%,2020.0,2224.0,2113.0,2558.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,15/11/2026,29/11/2026,14,2,0,Lose,USD,TripMaster,11.84%,2805.0,3137.0,2980.0,3608.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,29/05/2026,03/06/2026,5,1,1,Meet,USD,TravelCorp,0.26%,1009.0,1011.0,961.0,1163.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,21/05/2026,23/05/2026,2,3,0,Lose,USD,TripMaster,14.84%,464.0,533.0,506.0,613.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,30/11/2026,03/12/2026,3,3,0,Beat,USD,TravelCorp,-0.76%,957.0,950.0,902.0,1092.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,08/09/2026,12/09/2026,4,1,0,Lose,USD,WanderlustCo,12.24%,872.0,979.0,930.0,1126.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,23/01/2026,26/01/2026,3,3,1,Beat,USD,TripMaster,-3.40%,940.0,908.0,863.0,1045.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,12/10/2026,16/10/2026,4,2,0,Beat,USD,BookingPro,-3.77%,792.0,762.0,724.0,876.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,23/11/2026,27/11/2026,4,1,2,Lose,USD,VacationDeals,10.65%,759.0,840.0,798.0,966.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,02/05/2026,05/05/2026,3,2,0,Lose,USD,GlobalTravel,11.96%,863.0,966.0,918.0,1111.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,30/06/2026,07/07/2026,7,2,0,Meet,USD,WanderlustCo,4.63%,2461.0,2575.0,2446.0,2961.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,02/12/2026,05/12/2026,3,3,0,Beat,USD,VacationDeals,-4.15%,1007.0,965.0,917.0,1110.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,21/03/2026,24/03/2026,3,2,0,Meet,USD,GlobalTravel,4.52%,676.0,706.0,671.0,812.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,27/02/2026,03/03/2026,4,2,1,Beat,USD,BookingPro,-3.47%,1327.0,1281.0,1217.0,1473.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,07/12/2026,17/12/2026,10,2,1,Beat,USD,TripMaster,-2.00%,4839.0,4743.0,4506.0,5454.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,11/05/2026,15/05/2026,4,2,0,Lose,USD,BookingPro,5.17%,778.0,818.0,777.0,941.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,16/12/2026,20/12/2026,4,4,2,Meet,USD,TripMaster,3.49%,1689.0,1748.0,1661.0,2010.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,13/04/2026,20/04/2026,7,3,0,Lose,USD,WanderlustCo,7.88%,2421.0,2612.0,2482.0,3004.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,13/10/2026,20/10/2026,7,2,0,Lose,USD,BookingPro,8.13%,1824.0,1973.0,1874.0,2269.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,30/07/2026,03/08/2026,4,3,0,Meet,USD,GlobalTravel,4.92%,1562.0,1639.0,1557.0,1885.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,27/10/2026,30/10/2026,3,3,1,Lose,USD,TripMaster,9.57%,972.0,1065.0,1011.0,1224.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,08/10/2026,10/10/2026,2,2,1,Lose,USD,VacationDeals,14.30%,452.0,516.0,490.0,594.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,28/01/2026,31/01/2026,3,2,0,Lose,USD,GlobalTravel,7.73%,1598.0,1721.0,1635.0,1979.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,18/12/2026,21/12/2026,3,2,0,Lose,USD,WanderlustCo,6.10%,880.0,934.0,887.0,1074.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,26/07/2026,31/07/2026,5,2,0,Lose,USD,TravelCorp,9.99%,1890.0,2079.0,1975.0,2390.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,22/01/2026,27/01/2026,5,3,1,Beat,USD,GlobalTravel,-2.24%,1729.0,1690.0,1606.0,1944.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,07/08/2026,09/08/2026,2,2,0,Beat,USD,BookingPro,-3.70%,661.0,636.0,604.0,732.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,28/07/2026,02/08/2026,5,2,0,Meet,USD,BookingPro,1.68%,1822.0,1853.0,1760.0,2130.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,24/04/2026,29/04/2026,5,3,0,Beat,USD,VacationDeals,-3.75%,1274.0,1226.0,1165.0,1410.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,14/02/2026,21/02/2026,7,2,0,Lose,USD,TravelCorp,11.80%,1466.0,1639.0,1557.0,1885.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,15/07/2026,25/07/2026,10,2,0,Meet,USD,VacationDeals,0.97%,5236.0,5287.0,5022.0,6080.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,09/03/2026,12/03/2026,3,2,1,Lose,USD,BookingPro,7.62%,969.0,1043.0,991.0,1200.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,03/02/2026,13/02/2026,10,3,0,Beat,USD,TripMaster,-4.73%,1897.0,1808.0,1717.0,2079.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,03/08/2026,05/08/2026,2,1,0,Beat,USD,TripMaster,-3.69%,756.0,728.0,692.0,837.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,07/06/2026,09/06/2026,2,1,2,Lose,USD,GlobalTravel,14.27%,651.0,744.0,707.0,856.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,30/10/2026,01/11/2026,2,2,0,Meet,USD,GlobalTravel,4.28%,608.0,635.0,603.0,730.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,20/03/2026,25/03/2026,5,2,0,Lose,USD,BookingPro,14.61%,1029.0,1179.0,1120.0,1356.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,03/01/2026,07/01/2026,4,2,1,Lose,USD,BookingPro,12.00%,1932.0,2164.0,2056.0,2489.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,09/07/2026,13/07/2026,4,2,0,Meet,USD,GlobalTravel,4.95%,1829.0,1919.0,1823.0,2207.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,15/06/2026,18/06/2026,3,2,1,Lose,USD,BookingPro,10.44%,1442.0,1592.0,1512.0,1831.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,25/06/2026,27/06/2026,2,2,2,Meet,USD,TripMaster,3.82%,682.0,708.0,673.0,815.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,12/04/2026,16/04/2026,4,2,1,Lose,USD,TripMaster,5.40%,1113.0,1173.0,1114.0,1349.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,06/01/2026,11/01/2026,5,2,0,Lose,USD,GlobalTravel,8.09%,2099.0,2268.0,2155.0,2609.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,19/01/2026,23/01/2026,4,2,0,Meet,USD,WanderlustCo,1.46%,2158.0,2190.0,2080.0,2518.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,11/05/2026,25/05/2026,14,2,0,Lose,USD,GlobalTravel,14.47%,4155.0,4756.0,4518.0,5469.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,02/08/2026,05/08/2026,3,3,0,Lose,USD,WanderlustCo,11.56%,1388.0,1548.0,1471.0,1781.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,08/11/2026,11/11/2026,3,2,1,Lose,USD,WanderlustCo,7.28%,591.0,634.0,603.0,729.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,03/09/2026,08/09/2026,5,3,1,Beat,USD,WanderlustCo,-3.61%,1116.0,1076.0,1022.0,1237.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,08/07/2026,15/07/2026,7,2,1,Lose,USD,WanderlustCo,10.26%,1976.0,2179.0,2070.0,2506.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,MX,05/08/2026,12/08/2026,7,3,0,Beat,USD,WanderlustCo,-2.78%,3412.0,3317.0,3151.0,3814.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,08/12/2026,12/12/2026,4,3,0,Lose,USD,TravelCorp,14.32%,1190.0,1361.0,1293.0,1565.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,CL,29/04/2026,02/05/2026,3,3,1,Meet,USD,TripMaster,0.63%,951.0,956.0,909.0,1100.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,20/07/2026,23/07/2026,3,2,0,Beat,USD,WanderlustCo,-0.47%,733.0,730.0,693.0,839.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,BR,14/01/2026,19/01/2026,5,1,1,Lose,USD,TripMaster,10.89%,2211.0,2452.0,2330.0,2820.0
01/01/2025,Demo Region,Demo Chain Group,999991,demo.user1@example.com,Hotel Paradise Resort,DM,AR,18/07/2026,23/07/2026,5,4,1,Lose,USD,BookingPro,8.38%,2345.0,2542.0,2415.0,2923.0
